,atl hip hop,australian pop,big room,boy band,brostep,canadian hip hop,canadian pop,country rap,dance pop,dfw rap,edm,electropop,escape room,latin,panamanian pop,pop,pop house,r&b en espanol,reggaeton,reggaeton flow,trap music,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5051561780534168,0.5353863131005974,0.628599303319096,0.5,0.2920296742201791,0.8349855640127543,0.3459856683894138,0.1305439734843836,0.0,0.116512183082353
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.33407360851598167,0.9180628854236228,0.7108912436767914,0.75,0.2920296742201791,0.7058941815092362,0.9651513399331977,0.2386901420909944,0.27609100631388067,0.8403719735128661
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999991,0.9057828253177589,0.0,0.75,0.7227062322935722,0.7903879440859,0.314296532109549,0.3216736159093698,1.0000000000000002,0.45746693288039175
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14220557894665387,0.7005246425886402,0.2819432955272845,0.25,0.2920296742201791,0.6460490618620832,0.3896616167508844,0.3216736159093698,0.5719859672796723,0.5131083933953029
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8979664515590162,0.7005246425886402,0.09638331603354544,0.75,0.4898961024049784,0.16407628360499427,0.2430455213995839,0.7451716228076518,0.19895473177119,0.9470744551721584
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2882451452105217,0.7451276424076156,0.7379735186326362,0.625,0.3652123889719707,0.9116650495769786,0.5221221804333833,0.26108794696876714,0.05834489474886351,0.40149719561710917
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9999999999999991,0.6851982561085808,0.6008088606214037,0.5,0.20906195512216752,0.24809016992163757,0.0,0.0540730843033054,0.7954513685091431,0.8403719735128661
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4219279472848614,0.7451276424076156,0.0,0.625,0.2920296742201791,0.4182238810868095,0.4142730524034408,0.37505066176837665,0.27609100631388067,0.7325032405928162
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743062239834396,0.6538136478623291,0.9488072563285956,0.5,0.4898961024049784,0.734711835587928,0.12143679580091904,0.16136122527962823,0.31142633580941464,0.5684272865646491
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7313945021456671,0.29207586656242945,0.45899060470115893,0.0,0.43067655807339333,0.6562421086211231,0.36480029958661664,0.6193740603246572,0.9651298508422661,1.0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9999999999999991,0.6538136478623291,0.19030456126621953,0.625,0.9746358687061647,0.26375539900280087,0.6979907832805274,0.8806452970211369,0.8352117117353419,0.8938666347658515
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19239935919323958,0.7878047212504726,0.7916349583951408,0.75,0.6826061944859854,0.45593875550555596,0.30790779580336647,0.5602298045113945,0.19895473177119,0.5131083933953029
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4076204172294986,0.2449940100324386,0.0,0.5,0.4898961024049784,0.5385249126336665,0.2886372784776259,1.0,0.0,0.6234291581884897
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999991,0.893348294998892,0.5446665076871393,1.0,0.11328275255937847,0.8437248309920894,0.8942206594485094,0.21484291551350546,0.5966428862100923,0.5684272865646491
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2726689474815709,0.44116913841835714,0.8182202592689038,0.75,0.5439593106327716,0.0,0.43257210153305126,0.2822723175348959,0.10974777891446069,0.8403719735128661
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14220557894665387,0.33701688386669915,0.45899060470115893,0.375,0.7227062322935722,0.08799123069382686,0.7523768003591442,0.3216736159093698,0.46617973541156293,0.2885491938226128
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9999999999999991,0.7005246425886402,0.6008088606214037,0.5,0.4898961024049784,0.5156279536892002,0.653697051193121,0.37505066176837665,0.8546106881358386,0.7325032405928162
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09036581075225492,0.4008152853830511,0.628599303319096,0.5,0.20906195512216752,0.9685015103502882,0.12837020438302105,0.8463576718889472,0.10974777891446069,0.78658578174438
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6717281274667659,0.195557102653932,0.8446458843328828,0.25,0.6397385131955606,0.593633570830637,0.14903981227844199,0.42330719987868326,0.23873167987733385,0.6234291581884897
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9801133065801677,0.6538136478623291,0.5163069052242872,0.875,0.5439593106327716,0.49219202144695773,0.22985251751664704,0.30242140520542105,0.34503482323885776,0.78658578174438
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5970226735705255,0.8287153369736111,0.40084948202179893,0.375,0.20906195512216752,0.7251825003593314,0.09347985113683599,0.1305439734843836,0.0,0.78658578174438
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9395733602037488,0.6047854781890938,0.45899060470115893,0.5,0.5439593106327716,0.5719365217635094,0.0,0.6306516560650176,0.23873167987733385,0.78658578174438
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12511383106387264,0.893348294998892,0.7648870517444499,0.75,0.3652123889719707,0.6763587456743797,1.0,0.3579068492022818,0.19895473177119,0.34519330176224017
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12511383106387264,0.8807553587625132,0.7379735186326362,0.75,1.0,0.8781197659227119,0.7791790413030779,0.6527198674219179,0.05834489474886351,0.78658578174438
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7313945021456671,0.33701688386669915,0.37145825940062904,0.0,0.5439593106327716,0.7721042917130142,0.37103947335726284,0.5221758939375344,0.8154972427507936,0.6781193969531163
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5970226735705255,0.9301922661410198,0.4300253756307568,0.75,0.5936926411670824,0.9363027976376005,0.3459856683894138,0.7832638409063015,0.15621953842826025,0.0
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22499786009682143,0.6047854781890938,0.7916349583951408,0.5,0.7958889470453636,0.6357629221209361,0.4627754685558729,0.9538357118211416,0.31142633580941464,0.34519330176224017
27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19239935919323958,0.358743739255063,0.5446665076871393,0.375,0.8294828004351504,0.48025964723346937,0.4807250912966512,0.6635240169826692,0.0,0.6781193969531163
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15911452388293146,0.9772741226710102,0.5728325224573578,0.875,0.11328275255937847,0.7535497261388472,0.3585450246420496,0.30242140520542105,0.15621953842826025,0.78658578174438
29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.14220557894665387,0.893348294998892,0.2819432955272845,0.75,1.0,0.9921885489186651,0.5338285301999561,0.0955648212124931,0.711583229443915,0.6781193969531163
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.4607446716820851,0.0,0.25,0.43067655807339333,0.43096896488257863,0.4627754685558729,0.3216736159093698,0.05834489474886351,0.40149719561710917
31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7888907031398542,0.0,0.6836370125860989,0.0,0.3652123889719707,0.3921753273696206,0.2692072728491568,0.8721833133550618,0.8737088505441293,0.6781193969531163
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19239935919323958,0.7878047212504726,0.6836370125860989,0.625,0.3652123889719707,0.7721042917130142,0.24961375221324245,0.4817615370967411,0.7750567919235509,0.6781193969531163
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22499786009682143,0.6047854781890938,0.7379735186326362,0.375,0.5936926411670824,0.16407628360499427,0.4019980994485852,0.0540730843033054,0.46617973541156293,0.6781193969531163
34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776016560577,1.0000000000000004,0.6562075077089706,0.625,1.0,0.46817716255787567,0.5454822663597012,0.4384840146222978,0.15621953842826025,0.6781193969531163
35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46408968003813644,0.8016305707661018,0.34184686857736013,0.375,0.6397385131955606,0.37885492721781566,0.16951772668859721,0.42330719987868326,0.15621953842826025,0.6781193969531163
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999991,0.773782753863729,0.6008088606214037,0.625,0.4898961024049784,0.7155772305709668,0.5570840920073263,0.3579068492022818,0.8925197734440624,0.78658578174438
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.918906774662009,0.9301922661410198,0.5163069052242872,0.625,1.0,0.9685015103502882,0.15588681944862293,0.3401390166163728,0.10974777891446069,0.5684272865646491
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766142522457284,0.8152657128197496,0.8446458843328828,0.625,0.4898961024049784,1.0,0.2821785262707106,0.1305439734843836,0.15621953842826025,0.17421517140412313
39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.17584453482761297,0.55319818465455,0.7648870517444499,0.5,0.11328275255937847,0.7721042917130142,0.3958376071833456,0.7738912053031232,0.19895473177119,0.058442815538112924
40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.31894458128387804,0.7451276424076156,0.4300253756307568,0.375,0.43067655807339333,0.48025964723346937,0.5686346947161485,0.0540730843033054,0.0,0.6234291581884897
41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7451276424076156,0.6562075077089706,0.5,0.20906195512216752,0.8173304652265322,0.21658303052954153,0.0,0.10974777891446069,0.7325032405928162
42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19239935919323958,0.195557102653932,0.06453864677731858,0.5,0.9481920934663797,0.37885492721781566,0.4985487471034311,0.6635240169826692,0.0,0.5684272865646491
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.743062239834396,0.22058456920917857,0.9999999999999996,0.125,0.11328275255937847,0.4182238810868095,0.3896616167508844,0.16136122527962823,0.40794744189940096,0.40149719561710917
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22499786009682143,0.7595590246381136,0.9488072563285956,0.75,0.0,0.8349855640127543,0.15588681944862293,0.6847028796285655,0.3771473283811709,0.6234291581884897
45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054836871046610725,0.6538136478623291,0.34184686857736013,1.0,1.0,0.5271414876416071,0.2886372784776259,0.21484291551350546,0.10974777891446069,0.6234291581884897
46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9999999999999991,0.8419844238014078,0.37145825940062904,0.75,0.2920296742201791,0.8781197659227119,0.4142730524034408,0.5089882745799299,0.15621953842826025,0.6234291581884897
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776016560577,0.893348294998892,0.4300253756307568,0.875,0.7603744277225881,0.7628616270987939,0.4866801751851284,0.4384840146222978,0.10974777891446069,0.6234291581884897
48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.31894458128387804,0.773782753863729,0.12795462531713486,0.5,1.0,0.593633570830637,0.5103624979488757,0.4955229297305229,0.0,0.6234291581884897
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.17584453482761297,0.893348294998892,0.6008088606214037,0.5,0.20906195512216752,0.7058941815092362,0.4386419931146288,0.4676836665281122,0.3771473283811709,0.2885491938226128
