price;totsp;livesp;kitsp;dist;metrdist;walk;brick;floor;code
81;58;40;6;12.5;7;1;1;1;3
75;44;28;6;13.5;7;1;0;1;6
128;70;42;6;14.5;3;1;1;1;3
95;61;37;6;13.5;7;1;0;1;1
330;104;60;11;10.5;7;0;1;1;3
137;76;50;9;11;7;1;1;1;8
98;59;39;6;7.5;10;0;0;1;8
88;55;36;6;9;5;1;1;0;4
225;80;56;9;9;5;1;1;1;3
140;86;51;10;12.7;10;1;0;1;5
132;96;56;12;10.5;7;0;0;1;3
115;77;50;9;3.5;7;1;0;0;7
142;70;47;8;7.5;5;1;0;1;3
84;63;44;7;14.5;10;0;0;1;3
100;66;43;7;12;7;0;0;1;7
110;75;50;10;13.5;10;0;0;1;6
170;87;58;8;7.5;7;1;1;1;3
175;79;50;9;4.5;1;1;1;0;8
96;60;43;6;12;15;1;0;1;7
110;85;54;10;6;10;0;1;1;6
170;84;55;11;3;15;1;1;0;1
125;62;40;8;12.5;5;1;0;1;2
135;72;51;8;9;5;1;1;1;3
95;58;38;6;12;8;1;0;1;1
148;92;61;10;10.5;15;1;1;1;7
56;68;43;7;13.5;10;0;1;1;6
135;82;46;13;12;5;1;0;1;5
130;73;52;7;11;5;1;1;1;8
72;49;34;6;7;10;0;0;1;5
127;85;46;14;12;7;1;1;1;5
140;65;44;8;4.5;5;1;0;1;8
112;73;51;8;10.5;7;0;1;1;3
120;83;56;10;12;15;1;1;1;5
130;70;47;8;9;5;1;0;1;4
110;75;43;10;12.7;5;1;0;1;5
450;125;80;20;9;3;1;0;1;4
159;81;56;8;7.5;15;1;1;0;8
120;77;47;12;13.5;10;1;0;1;1
132;77;41;10;10;7;0;0;1;6
169;68;40;8;3;5;1;1;1;1
185;75;47;9;3;3;1;1;0;1
92;61;33;7;10.5;10;1;1;0;7
88;60;43;6;12;5;0;0;0;7
90;58;43;6;13.5;2;1;0;1;6
115;77;50;9;6;10;1;1;1;6
265;100;56;14;7;10;0;0;1;4
129;79;46;13;12;15;1;0;1;1
110;65;46;7;12.5;5;1;0;1;2
102;60;43;6;12;5;0;1;1;7
101;77;45;13;13;10;0;0;1;5
86;60;42;7;12;10;0;0;1;8
115;75;42;8;12;15;0;0;1;7
87;64;46;7;12;5;1;0;1;5
140;99;51;12;10.5;1;1;0;0;7
219;113;60;20;9;10;1;0;1;3
79;51;34;6;13.5;5;1;0;1;6
180;81;50;11;7.5;5;1;1;0;3
89;62;38;9;13;4;0;0;0;5
340;83;49;19;9;5;1;1;1;3
112;75;42;10;12;5;0;0;1;5
99;67;37;7;10.5;10;0;1;1;3
170;89;51;12;12.7;6;1;0;0;5
198;80;45;10;7;7;0;0;1;4
89;51;34;6;3.5;10;1;0;0;7
193;78;55;8;7.5;10;1;0;1;3
100;57;42;6;11;10;1;1;1;5
135;77;47;10;13.5;10;0;0;1;1
100;78;44;8;13.5;20;0;0;1;1
136;64;38;8;3;3;1;0;1;1
133;80;48;10;10.5;10;1;0;0;7
145;85;58;8;12;4;1;1;1;8
105;79;52;10;14.5;10;0;0;0;3
97;53;34;6;9;5;1;0;1;4
220;103;49;13;14.5;10;1;1;1;3
125;77;45;10;12;10;1;0;1;5
110;81;45;10;13;12;1;0;1;5
153;87;66;9;7.5;10;1;1;1;8
137;74;44;10;15.5;8;0;0;1;1
85;59;45;6;12;5;1;0;1;5
95;64;45;6;12.5;10;1;0;0;2
115;67;41;9;14.5;7;0;0;1;2
76;55;36;6;12.5;15;0;1;0;3
139;80;48;10;10.5;15;1;0;1;7
350;80;44;14;10.5;10;1;1;0;7
105;66;40;8;12.5;5;1;0;1;2
110;51;34;6;3.5;7;1;0;1;7
99;66;44;8;12;5;1;0;0;5
90;60;45;6;13.5;5;1;0;1;6
130;80;46;10;10.5;15;1;0;1;7
165;65;45;9;9;10;1;1;1;3
130;75;44;11;13.5;10;0;0;1;1
158;78;48;9;9;4;1;1;1;4
380;130;72;15;7;5;0;0;1;4
210;80;42;20;8;5;1;0;1;1
116;75;51;9;3.5;5;0;1;0;7
140;76;44;10;12.5;5;1;0;1;2
130;86;54;13;6;10;1;0;1;6
82;51;35;6;12.5;5;1;0;1;2
208;115;70;14;10;3;1;1;1;6
99;65;40;8;17;12;1;0;0;2
110;77;46;11;13;2;1;0;1;5
470;120;75;18;9;10;1;1;1;3
105;57;42;6;3;15;1;1;1;1
169;70;44;8;8;5;1;1;1;1
94;64;45;7;12.5;12;1;0;1;2
136;78;46;10;12.5;5;0;0;0;2
88;55;38;6;6.5;10;1;1;0;2
130;81;56;9;6;7;1;1;1;6
150;87;55;10;12;3;1;0;1;8
84;58;43;5;12;15;1;1;0;7
74;60;43;6;13.5;5;0;0;0;6
138;77;45;10;13;5;0;0;1;5
125;62;42;10;12;10;1;0;1;1
105;57;40;6;4.5;5;1;1;1;8
138;70;45;8;10.5;10;1;1;1;3
129;86;55;10;10.5;10;0;0;0;3
120;56;42;6;12;5;1;1;1;7
95;64;39;8;12;15;1;0;1;7
82;56;39;5;10.5;5;0;1;1;3
74;51;35;6;13.5;10;1;0;0;6
110;83;47;10;17;10;1;0;1;4
87;60;43;6;12;7;0;0;1;7
190;81;46;12;12;5;0;0;1;8
90;58;43;6;17;10;1;0;1;4
152;79;53;8;9;3;1;0;1;4
120;74;40;12;12.7;7;1;1;1;5
195;83;55;10;4.5;3;1;1;0;8
144;80;51;10;13.5;10;1;0;1;1
149;78;48;13;4.5;5;1;1;1;8
140;56;40;5;9;5;1;1;0;3
105;57;44;6;9;5;1;1;0;4
185;73;45;8;3;2;1;1;1;1
115;78;54;8;11.5;10;1;1;1;6
115;74;45;10;13;15;1;0;1;5
106;58;44;6;7;10;0;0;0;4
92;64;39;8;12;7;0;0;1;1
105;56;42;6;3;15;1;1;1;1
120;82;44;11;12.7;12;1;0;1;5
52;86;46;9;12;10;0;0;1;7
169;95;58;14;9;7;0;1;1;4
225;80;53;9;7;5;1;1;1;4
94;59;43;5;14.5;5;0;0;1;3
99;76;45;10;12;10;1;0;1;5
86;51;35;6;17;10;1;0;0;4
177;80;50;9;4.5;2;1;0;0;8
113;75;45;10;12;7;1;0;1;5
110;76;46;10;13;7;1;0;1;5
145;78;50;10;12;3;1;0;1;5
90;56;41;5;6;15;1;1;1;6
199;127;62;20;13.5;10;0;1;1;1
372;158;80;20;10.5;10;1;0;1;3
95;58;42;6;7.5;15;1;1;1;3
78;51;34;6;13.5;10;1;1;1;6
135;84;45;11;12;10;0;0;1;7
100;80;45;12;12.7;15;1;0;1;5
153;76;46;10;9;5;0;0;1;4
95;65;47;9;13.5;7;1;0;1;6
103;60;43;6;12.5;5;1;0;1;2
114;80;45;13;12;7;1;0;0;5
113;85;46;10;12;15;0;0;1;7
108;80;52;10;12;10;0;0;1;7
107;74;44;11;13;5;0;0;0;5
100;77;52;9;10.5;15;0;1;1;3
106;76;43;12;13;5;0;0;0;5
84;60;44;6;13.5;7;0;0;1;1
139;73;51;9;7.5;10;0;1;0;8
106;76;46;10;13;5;0;0;1;5
124;78;55;8;13.5;10;1;1;1;1
112;65;40;8;17;5;1;0;0;2
110;65;43;7;12;10;0;0;1;7
80;60;44;6;13.5;10;0;0;1;6
115;58;41;5;7.5;7;1;1;0;3
110;83;47;10;17;10;1;0;1;4
138;68;46;8;9;10;1;0;1;4
50;63;47;7;12;20;0;1;0;7
132;77;43;8;12.5;5;1;0;1;2
80;58;43;6;10;10;1;1;1;6
88;59;44;6;13.5;10;1;0;1;6
194;106;60;17;9;5;0;1;1;4
130;78;54;8;7.5;10;0;0;1;8
86;50;34;6;12;10;0;0;0;8
128;70;50;8;5;5;1;1;0;4
155;85;53;7;4.5;10;1;0;0;8
270;105;74;18;5;1;1;1;1;4
85;60;43;6;14.5;6;0;0;1;2
135;76;44;10;12.7;2;1;0;0;5
200;122;68;12;10;5;1;0;1;6
90;51;35;6;7;3;1;0;1;4
133;65;47;8;12.5;2;1;0;1;3
103;69;44;9;14.5;10;0;0;1;3
89;61;44;6;12.5;10;1;0;1;2
81;56;39;6;11.5;10;1;0;1;6
106;58;42;6;12;5;1;1;1;8
166;77;45;11;10.5;15;1;1;1;3
78;55;37;6;11.5;2;1;1;1;6
110;77;45;10;12;10;0;0;1;7
120;74;44;10;12.7;10;1;0;1;5
100;80;51;10;13.5;10;0;0;1;6
127;76;42;10;13.5;10;0;0;1;6
150;75;46;11;9;15;1;0;1;4
99;79;62;6;17;2;1;1;0;4
118;67;44;8;6;10;1;0;1;6
120;63;43;9;12;1;1;0;0;8
85;64;45;7;15.5;10;1;0;0;1
167;78;54;8;9;10;1;1;1;3
105;58;44;5;17;2;1;1;1;2
130;56;41;6;9;5;1;1;0;3
125;80;45;13;13;10;0;0;0;5
86;59;43;6;17;5;1;0;1;4
105;60;41;8;4.5;10;1;1;0;8
118;68;49;11;7.5;7;1;0;0;8
107;75;44;8;12;10;1;0;0;5
100;65;46;6;15.5;7;1;0;1;1
195;83;55;9;9;3;1;1;1;3
120;66;40;19;7.5;10;1;1;1;8
95;60;43;6;14.5;10;1;0;1;3
110;58;43;6;14.5;10;1;1;1;3
80;55;41;5;11.5;3;1;1;1;6
97;75;45;10;13;5;0;0;1;5
92;63;39;8;15.5;5;1;0;1;1
130;75;44;8;12.7;3;1;0;1;5
235;92;52;15;3.5;3;1;0;1;7
93;60;38;8;12;5;1;0;1;5
95;82;48;8;13;10;1;0;1;5
115;77;46;10;12.7;7;1;0;1;5
140;76;44;10;12;2;1;0;1;5
92;82;48;8;13;12;0;0;1;5
89;60;44;6;14.5;7;1;1;1;3
230;103;51;14;14.5;15;1;1;1;3
95;64;40;8;15.5;15;1;0;1;1
156;83;55;9;10.5;10;1;1;1;7
135;77;46;10;12.7;2;1;0;1;5
125;78;60;11;14.5;10;0;0;1;3
122;74;50;8;10.5;10;1;1;0;3
140;85;52;11;9;10;0;0;1;3
95;64;45;6;14.5;10;1;0;1;2
105;65;39;11;12;5;0;0;1;7
150;78;44;8;13.5;1;1;0;1;1
136;74;45;10;13.5;5;0;0;1;1
170;80;48;9;14.5;7;1;1;1;3
105;75;45;10;12;7;1;0;1;5
125;82;52;12;13.5;10;0;0;0;6
73;61;41;6;13;10;0;0;0;5
93;78;46;10;12;15;0;0;1;7
95;64;45;7;12.5;10;1;0;1;2
225;101;65;15;10.5;20;1;1;1;3
108;65;40;8;17;5;1;0;1;2
92;60;45;6;9;7;0;1;1;3
90;57;38;6;7.5;6;1;1;0;3
145;85;54;11;8;10;0;1;1;1
93;67;47;6;12;5;0;0;1;7
160;80;56;9;12;5;1;1;1;8
93;62;37;8;12.5;10;1;0;1;2
90;57;43;6;12;5;1;1;1;1
79;55;40;6;10.5;10;0;1;1;3
95;73;43;11;12.7;10;1;0;0;5
110;75;52;9;7.5;10;0;1;1;8
125;66;44;9;12.5;15;1;0;1;3
299;99;65;11;9;10;1;1;1;3
127;77;46;10;12.5;10;1;0;1;2
112;75;45;10;12;7;1;0;1;5
84;58;43;5;12;15;1;1;0;7
195;110;55;11;12;1;1;1;1;7
170;81;60;13;13;5;1;0;1;5
95;67;45;9;13.5;10;0;0;0;1
450;145;82;14;4.5;3;1;1;1;8
160;85;56;12;6.5;10;1;1;1;2
165;78;46;10;5;10;1;0;1;4
80;56;38;6;7;10;1;0;1;5
125;78;50;9;13.5;15;1;1;0;1
120;77;44;10;13.5;5;0;1;1;6
226;82;52;10;3;3;1;0;1;1
105;66;48;8;12;1;1;0;0;5
120;66;43;10;9;10;0;0;1;4
150;77;45;10;5;10;1;0;1;4
103;77;46;11;13;5;0;0;1;5
115;57;42;6;10.5;4;0;1;1;3
140;87;57;7;10.5;3;1;1;1;3
185;80;53;9;7.5;15;1;1;1;8
120;80;50;10;7;7;1;0;1;5
82;57;46;6;12;10;1;1;1;7
130;74;53;7;4.5;7;1;1;1;8
110;70;42;10;14.5;7;0;0;1;3
90;61;49;6;12;10;1;0;1;8
185;108;62;12;13.5;10;0;0;1;6
146;80;46;10;7.5;10;1;1;1;3
105;68;46;8;12;15;1;0;1;7
193;100;56;12;12;10;0;1;1;7
75;51;34;6;9;5;0;0;0;4
138;65;47;9;5;10;1;0;1;4
115;63;40;8;12.5;10;0;0;1;3
93;59;44;6;7;5;0;0;0;4
123;83;50;11;12.7;15;1;0;1;5
120;82;53;9;11.5;10;0;1;1;6
90;66;43;6;15.5;5;1;0;0;1
86;56;39;6;12.5;10;0;0;1;3
103;64;40;8;17;5;1;0;1;2
85;59;43;6;13.5;15;0;0;1;1
123;85;51;10;12.7;3;1;0;1;5
110;69;44;10;12;5;1;0;1;7
88;60;44;10;12;10;0;0;0;7
116;75;46;10;13.5;10;0;0;1;6
119;71;52;8;8;10;0;1;0;1
130;80;45;13;12;5;0;0;1;5
85;55;40;6;11;5;0;1;1;8
93;79;45;10;13;7;0;0;0;5
127;79;45;13;12;3;1;0;1;1
143;77;42;10;6;5;0;0;1;6
105;77;46;8;12;15;0;0;0;7
177;74;45;8;5;15;1;1;1;4
73;54;37;6;14.5;10;1;0;1;3
145;74;45;11;17;10;0;0;1;2
99;72;50;9;7.5;10;0;1;1;8
91;60;44;6;12;10;1;1;1;7
122;68;44;8;10.5;5;0;0;1;3
147;74;49;9;7.5;10;1;1;1;3
84;76;45;10;17;10;1;0;1;4
73;51;34;6;7;7;1;0;1;5
85;58;39;6;10;7;0;0;1;6
135;68;46;8;12.5;7;0;0;1;3
116;75;44;13;12;10;1;0;1;1
136;76;44;10;14.5;9;0;0;1;3
88;56;36;6;17;10;0;0;1;2
153;87;55;10;6.5;5;0;1;1;2
135;74;44;10;10.5;7;1;0;0;3
135;74;51;9;10.5;7;1;1;1;7
100;68;53;6;12;10;1;0;1;7
115;66;37;7;11;7;1;0;1;8
120;69;40;9;13.5;15;1;0;1;1
149;84;46;10;13.5;7;0;0;1;1
98;56;33;6;8;10;1;0;0;1
85;60;44;6;7;7;1;0;1;5
169;80;50;8;10;5;1;1;1;6
100;55;38;6;3.5;5;1;1;0;7
125;64;44;9;12;12;1;0;1;8
95;55;35;8;7.5;7;1;1;1;3
114;75;44;10;13;2;1;0;1;5
105;78;50;8;9;10;1;1;0;4
125;75;53;8;11;3;1;1;1;8
100;65;39;9;17;10;1;0;1;2
93;64;41;7;14.5;3;1;0;1;2
165;99;70;9;7.5;7;0;1;1;8
72;52;35;6;13.5;10;0;0;1;1
125;78;52;7;11;7;1;1;1;8
250;74;47;10;3;5;1;1;0;1
165;87;51;12;12.7;6;1;0;0;5
148;84;52;8;6.5;3;1;1;1;5
130;81;49;9;13;10;0;1;1;5
148;74;51;9;7.5;10;1;1;1;3
123;79;45;13;9;20;1;0;1;4
149;77;45;9;12;5;1;0;1;1
97;55;35;6;9;10;1;0;1;4
80;50;34;6;12;5;0;0;0;8
100;58;42;5;12;10;0;1;1;8
105;75;45;10;12;5;0;0;1;5
80;52;36;6;10.5;15;1;1;0;7
120;100;63;9;13;7;0;0;1;5
78;59;42;6;12.5;10;0;0;0;2
209;90;57;8;10.5;2;1;1;1;3
190;81;51;14;9;3;1;1;1;3
88;51;35;6;10.5;3;1;0;1;7
135;85;53;9;10.5;7;0;1;0;3
185;90;54;13;7.5;7;1;1;1;3
299;100;65;11;9;10;1;0;1;3
111;81;45;9;14.5;10;0;0;0;3
102;65;44;7;13.5;10;1;0;1;6
94;65;45;7;14.5;10;1;0;0;2
165;79;53;9;8;15;1;1;1;1
164;90;52;13;10;3;1;1;1;6
110;63;45;7;13.5;10;1;0;1;1
137;78;51;9;6;15;1;1;1;6
97;57;42;6;13.5;5;0;1;1;1
155;80;46;13;12;15;1;0;0;8
153;75;45;10;7;15;1;0;0;4
132;88;55;14;17;5;1;0;1;4
110;74;45;10;12.7;7;1;0;1;5
103;63;38;8;10.5;10;0;0;1;3
79;49;33;6;14.5;10;1;0;0;3
200;121;71;12;10;3;1;0;1;6
85;59;44;6;9;5;0;0;1;4
108;66;43;7;17;5;1;0;1;4
125;81;56;9;6;5;1;1;0;6
145;90;55;10;9;7;1;1;0;4
250;74;56;8;4.5;7;1;1;1;8
140;78;46;11;12;5;1;0;1;8
160;79;51;12;3;8;1;1;1;1
122;96;51;12;13.5;10;0;0;0;6
100;63;42;7;13.5;15;1;1;1;1
87;55;38;5;6.5;5;1;1;1;5
92;69;47;6;12;10;0;0;0;7
150;77;42;8;6;15;1;0;1;6
150;112;64;16;14.5;5;0;0;1;3
88;61;42;6;12.5;5;1;0;1;2
100;78;45;10;13;7;1;0;1;5
92;64;38;8;10.5;15;1;0;0;7
112;76;54;8;10.5;15;1;1;0;7
90;65;45;7;12;7;1;0;1;5
140;85;50;8;6.5;2;1;1;1;5
100;75;45;10;13;5;0;0;1;5
83;58;38;6;12.5;10;1;0;0;2
115;72;50;8;10.5;10;0;1;1;3
92;68;53;6;13;10;0;0;1;5
110;65;41;11;12.5;15;1;1;1;8
103;64;45;6;17;5;1;0;1;2
165;78;47;9;5;10;1;1;1;4
165;89;57;9;7;5;0;0;1;4
371;128;70;18;7;5;0;0;1;4
85;60;38;6;17;7;1;0;0;2
95;65;39;8;12;15;1;0;1;7
141;113;58;13;13.5;10;0;0;1;1
113;77;50;8;12.5;15;0;1;0;3
125;73;52;8;11;10;1;1;1;8
108;64;40;9;12;10;0;1;1;1
84;59;45;5;10;15;1;0;1;6
170;71;47;8;7.5;10;1;1;1;3
112;72;51;8;6.5;5;1;1;1;5
131;76;45;10;12;7;1;0;1;1
110;77;46;9;13;5;1;0;0;5
135;79;48;9;10.5;5;1;1;0;7
132;69;44;8;8;10;1;0;1;1
135;100;50;10;15.5;10;1;0;1;1
95;63;39;8;14.5;15;1;0;1;2
140;77;45;10;10;5;1;0;1;6
120;77;45;10;13;10;1;0;1;5
115;68;44;9;12;7;1;0;1;7
165;96;58;14;7;5;0;0;1;4
99;66;39;8;17;10;1;0;0;2
192;123;68;16;14.5;10;0;0;0;3
128;75;45;10;17;3;1;1;1;2
105;63;44;7;17;3;1;0;1;4
133;83;46;12;13.5;10;1;1;1;1
96;64;41;9;13.5;12;1;0;1;1
168;84;54;8;7.5;10;1;1;1;8
150;78;45;10;14.5;10;0;0;1;3
135;84;55;11;3;15;1;1;1;1
85;65;43;10;12;5;0;0;1;5
85;57;37;5;12;7;0;0;1;8
138;86;50;10;13.5;10;1;1;1;1
87;57;45;6;12;15;1;0;1;8
115;80;48;11;12.7;5;0;0;1;5
117;80;44;13;10.5;10;0;0;1;3
154;95;51;11;6.5;3;1;1;1;5
84;60;43;6;12;10;1;0;1;5
160;114;67;15;14.5;10;0;0;1;3
93;61;43;6;14.5;7;0;0;1;2
130;77;47;11;11;7;1;0;1;5
100;70;44;8;15.5;7;0;0;0;1
135;78;44;11;12.7;10;1;0;1;5
84;59;38;6;7;10;1;0;1;5
105;66;44;7;3.5;10;1;0;1;7
155;75;46;10;12;5;1;0;1;8
120;76;45;10;13;10;1;0;1;5
105;60;35;8;11;5;1;1;1;8
75;53;35;7;11.5;5;1;1;0;6
110;77;46;10;6;10;0;0;1;6
280;108;65;14;14.5;15;1;1;1;3
115;85;52;10;12;10;1;0;1;5
78;57;37;6;13.5;10;1;0;1;6
227;134;70;16;9;5;1;0;1;4
86;56;42;5;6.5;5;1;1;0;5
106;70;43;10;12.7;10;1;0;0;5
93;66;39;8;14.5;15;1;0;1;2
112;79;45;8;11.5;2;1;1;1;6
93;64;45;7;13.5;7;0;0;1;1
120;74;45;10;13;15;1;0;1;5
92;60;41;6;14.5;7;1;0;0;2
220;81;46;13;9;7;1;0;1;4
107;66;42;9;8;7;0;0;1;1
115;62;38;9;17;7;1;0;0;2
83;61;38;6;13;10;0;0;0;5
140;66;47;6;4.5;2;1;1;0;8
105;64;45;6;13.5;7;1;0;1;1
120;57;43;6;8;5;1;1;0;1
88;64;46;7;17;15;1;0;0;2
115;76;40;11;12.7;10;1;0;1;5
140;70;45;10;9;10;1;0;1;3
149;94;57;8;10.5;15;0;1;1;3
120;75;43;10;17;10;1;0;1;2
170;92;62;18;6;7;1;1;1;6
105;73;49;8;11.5;5;1;0;0;6
189;86;55;10;9;10;1;1;1;3
86;61;42;6;12;7;0;1;1;5
126;80;40;14;12;10;0;0;1;7
85;59;40;6;10;5;0;0;1;6
140;82;47;11;12.5;10;1;1;0;2
104;84;52;11;13;5;0;0;1;5
108;66;45;10;12;5;1;0;1;7
84;60;45;6;13.5;7;0;0;1;6
90;55;35;6;14.5;5;0;0;1;3
87;61;43;6;12;15;1;0;1;7
115;71;42;10;12;5;1;0;0;8
78;58;44;6;7;7;1;0;0;5
120;80;47;9;13.5;10;0;0;1;6
98;74;44;10;12;15;1;0;0;7
152;81;54;8;7.5;12;1;1;1;3
105;82;48;8;13;10;0;0;1;5
158;78;48;12;9;4;1;1;1;4
87;58;33;5;11.5;5;1;0;1;6
150;108;56;15;11;5;1;1;1;5
109;79;45;13;14.5;5;0;1;1;3
158;64;44;9;7;3;1;0;1;4
160;86;51;8;12;2;1;1;1;7
80;56;37;6;10;1;1;0;0;6
115;66;38;7;11;7;1;1;1;8
260;70;45;8;8;7;1;1;0;1
90;56;40;5;12.5;5;1;1;1;3
132;76;43;8;12.5;5;1;0;1;2
84;59;46;6;10;15;1;0;1;6
112;63;35;8;11;7;1;0;1;8
